Emotion,Sentence,Sentence_cleaned
Disgust,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn
Disgust,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,mấy thằng này người ta gọi là mấy thằng nhà quê năm nào rồi còn túm 5 tụm 3 trêu gái
Enjoyment,cô giáo có tâm vời nghề ghêeeee,cô giáo có tâm vời nghề ghêe
Sadness,tiếc quá đẹp trai mờ không có chim,tiếc quá đẹp trai mờ không có chim
Enjoyment,crush ở nhà chơi gane rồi haha,người mình thích ở nhà chơi gane rồi haha
Sadness,nhìn stt đồng cảm khủng khiếp .,nhìn trạng thái đồng cảm khủng khiếp
Enjoyment,cài lò xô huyền thoại,cài lò xô huyền thoại
Disgust,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂
Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức
Enjoyment,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng cố gắng lên em nhé 👍
Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra
Anger,trốn cũng đéo tha,trốn cũng đéo tha
Enjoyment,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",con gấu trúc cho nó ăn trúc đi tướng ngồi nhìn cưng vãi
Sadness,rồi lại im thôi . 200k hay 5tr thì cũng vậy,rồi lại im thôi 200k hay 5tr thì cũng vậy
Enjoyment,"cái lò huyền thoại nè per , lúc mình ở chung đó",cái lò huyền thoại nè per lúc mình ở chung đó
Fear,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
Enjoyment,tuyệt vời,tuyệt vời
Surprise,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),trẻ con bao giờ ga lăng sớm thế nhỉ hồi mình bằng bọn này đuổi đánh nhau hỡi chết
Other,tính đi chạy xe mà mưa cho nên ta ở nhà :),tính đi chạy xe mà mưa cho nên ta ở nhà
Enjoyment,nhìn nó cưng quá,nhìn nó cưng quá
Disgust,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,chủ tịch giả làm nhện và cái kết đừng bao giờ xem thường người khác
Disgust,"này thì cắt đức quan hệ , toàn thể hiện , dume nó",này thì cắt đức quan hệ toàn thể hiện dume nó
Disgust,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
Enjoyment,hạnh phúc to nè,hạnh phúc to nè
Disgust,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",độ thâm của bác phải gọi là bố của tàu
Enjoyment,ông thần nhây vãi đái 😂😂,ông thần nhây vãi đái 😂😂
Surprise,tóm lại vẩn ế à,tóm lại vẩn ế à
Sadness,chả vị nước mắt à 😔,chả vị nước mắt à 😔
Anger,con lợn kia sao đập vào đầu vợ bé của tao =)),con lợn kia sao đập vào đầu vợ bé của tao
Other,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt
Fear,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,cứ sợ rớt điện thoại sợ nhất là lỡ khúc nào khó là té không thể tả nổi
Enjoyment,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,hình như anh nay đóng phim ngây ngô thì fải phim đó hay lắm các bạn nên xem
Enjoyment,hahaa coi cái mặt con nhỏ thấy thương,hahaa coi cái mặt con nhỏ thấy thương
Enjoyment,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",per khiếp nhớ ngày xưa quá anh em ơi đi làm cười từ sáng tới tối luôn 😩
Other,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ
Enjoyment,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình lúc đéo nào cũng cười cuộc sống tràn ngập niềm vui 3
Enjoyment,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,không phải người mình thích v nhưng mà nhìn ổng cười mỉm nhìn cute vãi 😑😆❤
Enjoyment,per anh tặng vợ cái bát nha kaka,per anh tặng vợ cái bát nha kaka
Enjoyment,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",tiêu đề bộ phim cứ ngỡ là thể loại hài nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này
Anger,như lol,như lol
Surprise,bất ngờ chưa =))),bất ngờ chưa
Anger,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",trời mới bắt đầu mưa đéo lo thu thóc đi đứng đó quay ngang quay dọc
Anger,"ay , đau thế , thằng chó !",ay đau thế thằng chó
Sadness,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ mình nhận thấy hình như ông ấy đang rất đau khổ mà không thể or không muốn nói ra
Anger,"đm cho tù mọt gông đi , cái thứ không não",địt mẹ cho tù mọt gông đi cái thứ không não
Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,con tao mà bị như này cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn
Sadness,a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,a per nhìn những hình ảnh này sao em nhớ về anh quá 15 năm ròng rã giờ anh lưu lạc nơi đâu 😭
Disgust,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",kiến phải loại kiến lửa kiến vàng còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời
Enjoyment,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,per có nên áp dụng với anh hàng xóm không nhể 😆
Enjoyment,đáng yêuc quá,đáng yêuc quá
Other,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy
Disgust,làm như chỉ có chúng mày biết yêu nhau ý .,làm như chỉ có chúng mày bt yêu nhau ý
Other,nói chung là không nên uống chẳng bổ béo gì đâu,nói chung là không nên uống chẳng bổ béo gì đâu
Enjoyment,không nổi thì mình chìm haha,không nổi thì mình chìm haha
Other,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,nóng tính quá hỏng viẹc trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được
Other,anh cũng bướng làm !,anh cũng bướng làm
Anger,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",mỗi lần như thế tao chửi mà bọn nó xem đó là trò đùa mày ạ càng chửi càng cười
Sadness,nhìn ma tiếc từng hạt trân châu,nhìn ma tiếc từng hạt trân châu
Enjoyment,thật cảm động,thật cảm động
Surprise,"trời ơi , tin được không ????",trời ơi tin được không
Enjoyment,per nhìn mặt hài vler :))),per nhìn mặt hài vler
Enjoyment,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",đấy gọi là bt ngu mà vẫn đâm đầu vào giống tao
Enjoyment,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu
Disgust,người ngoài hành tinh đi học tiếng anh rồi à vãi,người ngoài hành tinh đi học tiếng anh rồi à vãi
Sadness,đó là một câu chuyện buồn 😀,đó là một câu chuyện buồn 😀
Disgust,lỗi đạo cụ,lỗi đạo cụ
Disgust,per dạo này bị xàm à 😂😂😂,per dạo này bị xàm à 😂
Sadness,như chết đi sống lại 🙂,như chết đi sống lại 🙂
Sadness,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay nồng nơi khóe mắt
Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,điện cho đứa bạn đem mũ ra coi ai hơn ai kakaa
Anger,thả tao ra để tao cắn chết mẹ nó =)),thả tao ra để tao cắn chết mẹ nó
Enjoyment,per tao cứ thấy giống giống mày :))))),per tao cứ thấy giống giống mày
Disgust,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
Disgust,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",giỏi thì tự đi mà thiết kế các kiểu ở đó chỉ giỏi cào phím chê bai thôi ông đã làm được gì am hiểu gì mà chê này chê nọ
Enjoyment,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,ngoài kia còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này hy vọng những điều tốt đẹp luôn diễn ra từng giây phút
Enjoyment,cưng hết sức nà,cưng hết sức nà
Disgust,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",học kiểu ăn nói láp xược tại sao không dạy xưng tôi hay tôi mà là tao đúng chất bắc láo
Surprise,cái nệm này độ đàn hồi đỉnh ghê,cái nệm này độ đàn hồi đỉnh ghê
Sadness,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",em lấy đi niềm tin chả lại cho anh những gì cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất anh chân thành nên anh tổn thương
Anger,con mèo khốn nạn dám bóp vếu vợ tao à 😡,con mèo khốn nạn dám bóp vếu vợ tao à 😡
Surprise,"giỏi quá ta , cố gắng phát huy nha",giỏi quá ta cố gắng phát huy nha
Other,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",giờ mà quay lại cái thời đi học tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa
Other,ăn cả thế giới đã,ăn cả thế giới đã
Anger,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",mấy cái thằng này xử bắn hết đi to xác không lo làm ăn suốt ngày trộm cắp
Disgust,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",đưa lên để nhận đồng cảm à họ sai họ chịu phạt còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi
Sadness,chú này tội lắm á :(,chú này tội lắm á
Anger,gọi phường cẩu đi thôi,gọi phường cẩu đi thôi
Disgust,link phim đéo có .. mà zo toàn gặp bình luận xàm,link phim đéo có mà zo toàn gặp bình luận xàm
Sadness,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi
Enjoyment,hihi ảo tưởng,hihi ảo tưởng
Enjoyment,hahah tao chưa nghe hoàn chỉnh bài này lần nào,hahah tao chưa nghe hoàn chỉnh bài này lần nào
